id,uuid,exercise_base,image
146,a1b5b12d-06ab-4e80-93bc-352da6aec7f5,484,https://wger.de/media/exercise-images/161/Dead-lifts-1.png
148,545a71c9-440d-442d-b772-1458eb4f1125,576,https://wger.de/media/exercise-images/176/Cross-body-crunch-2.png
150,bec83f17-2060-4bee-8a02-78db230568bf,257,https://wger.de/media/exercise-images/191/Front-squat-2-857x1024.png
152,dd63c466-ea7e-47f4-b1b2-8a50b4656dfc,615,https://wger.de/media/exercise-images/111/Wide-stance-squat-1.gif
166,2a23e37b-f1b9-4aaa-b270-4b1ab113dc04,70,https://wger.de/media/exercise-images/39/Seated-leg-curl-2.png
168,3c602fe5-8d1a-4118-bbce-bc4a57b4ab9a,370,https://wger.de/media/exercise-images/177/Seated-leg-curl-2.png
172,01a05758-9b0b-4d9c-b5a6-80b9df6bd26a,566,https://wger.de/media/exercise-images/119/seated-barbell-shoulder-press-large-2.png
174,1983b6be-1784-4ad3-a05c-7e4b34d9878f,567,https://wger.de/media/exercise-images/123/dumbbell-shoulder-press-large-2.png
176,c92bb795-8d73-43e0-8b25-bd44c8ba4150,568,https://wger.de/media/exercise-images/152/seated-shoulder-press-machine-large-2.png
178,239d43a2-b86f-4dc7-aab2-27c8c2f7de47,348,https://wger.de/media/exercise-images/148/lateral-dumbbell-raises-large-1.png
180,f8d23bc0-4b42-40fb-aa01-970fb573a212,365,https://wger.de/media/exercise-images/154/lying-leg-curl-machine-large-2.png
182,d7c5c697-8a93-4d69-8c9d-a919cb4e1f77,366,https://wger.de/media/exercise-images/117/seated-leg-curl-large-2.png
184,a7d82572-ca40-4616-a13d-a359d7efae20,367,https://wger.de/media/exercise-images/118/standing-leg-curls-large-2.png
190,afd20f42-e5c7-4269-afb4-8d70965401fd,105,https://wger.de/media/exercise-images/231/Standing-biceps-curl-2.png
196,aa0ff663-f593-465e-9fce-c01b77c6eb9c,543,https://wger.de/media/exercise-images/53/Shoulder-press-machine-1.png
210,fd5e3e44-ec53-4aa7-a123-3ce79e130372,361,https://wger.de/media/exercise-images/244/Close-grip-front-lat-pull-down-1.png
