폰모델 제목,가격,등록시간,내용
lg q52 판매합니다,70000,2시간 전,"외관 깨끗하게 사용했습니다
액정 생활기스 조금 있습니다 잔상이상없습니다
21년3월에 개통했습니다 기기단품입니다
kt였고 3사호환됩니다 정상해지 했습니다
필요하신분 연락주세요~ 64기가입니다

직거래는 신월사거리나 화곡역에서 가능합니다~
택배거래시 택배비3천원 추가됩니다"
갤럭시 노트20 무잔상 A급 판매합니다.,380000,2시간 전,"외관 전체적으로 깨끗합니다
액정이랑 잔상이상없습니다
22년7월에 개통했습니다 기기단품입니다
메인보드 교체해서 최초통화일도 초기화됐습니다
kt였고 3사호환됩니다 정상해지 했습니다
필요하신분 연락주세요~ 256기가입니다

직거래는 신월사거리나 화곡역에서 가능합니다~
택배거래시 택배비3천원 추가됩니다"
갤럭시s10 무잔상 판매합니다.,190000,2시간 전,"외관 테두리 찍힘이 있습니다
액정 기스하나있고 잔상은 없습니다
19년12월에 개통했습니다 기기단품입니다
kt였고 3사호환됩니다 정상해지 했습니다
필요하신분 연락주세요~ 128기가입니다

직거래는 신월사거리나 화곡역에서 가능합니다~
택배거래시 택배비3천원 추가됩니다"
lg 벨벳 무잔상 판매합니다.,130000,2시간 전,"외관 뒤판기스 테두리찍힘 있습니다
액정에 기스들이 있고 잔상은 없습니다
20년12월에 개통했습니다 기기단품입니다
kt였고 3사호환됩니다 정상해지 했습니다
필요하신분 연락주세요~ 128기가입니다

직거래는 신월사거리나 화곡역에서 가능합니다~
택배거래시 택배비3천원 추가됩니다"
갤럭시노트10플러스 판매합니다.,260000,2시간 전,"외관 생활기스랑 테두리 찍힘이 있습니다
액정이상없고 작은멍하나있고 잔상은 없습니다
19년9월에 개통했습니다 기기단품입니다
kt였고 3사호환됩니다 정상해지 했습니다
필요하신분 연락주세요~ 256기가입니다

직거래는 신월사거리나 화곡역에서 가능합니다~
택배거래시 택배비3천원 추가됩니다"
lg q92 판매합니다.,90000,2시간 전,"외관 깨끗합니다 테두리뒤판 필름이에요
액정 가운데 자국같은게 있습니다 화면키면 티안나요
20년11월에 개통했습니다 기기단품입니다
kt였고 3사호환됩니다 정상해지 했습니다
필요하신분 연락주세요~ 128기가입니다

직거래는 신월사거리나 화곡역에서 가능합니다~
택배거래시 택배비3천원 추가됩니다"
갤럭시z플립3 판매합니다.,560000,2시간 전,"외관 힌지 깨끗하고 테두리 자잘한 찍힘 조금 있습니다
액정이랑 잔상이상없습니다
22년4월에 개통했습니다 기기단품입니다
kt였고 3사호환됩니다 유심기변 가능합니다
필요하신분 연락주세요~ 256기가입니다

직거래는 신월사거리나 화곡역에서 가능합니다~
택배거래시 택배비3천원 추가됩니다"
lg q92 판매합니다.,100000,2시간 전,"외관 생활기스외에는 이상없습니다
액정이랑 잔상이상없습니다
20년9월에 개통했습니다 기기단품입니다
kt였고 3사호환됩니다 정상해지 했습니다
필요하신분 연락주세요~ 128기가입니다

직거래는 신월사거리나 화곡역에서 가능합니다~
택배거래시 택배비3천원 추가됩니다"
갤럭시폴드1 판매합니다.,100000,2시간 전,"외관 사용감 많습니다
내부액정 고장났습니다 외부액정은 나와요
부품용이나 수리해서 사용해야될거같습니다
센터 문의해보니 수리비는 다해서 55만원정도 나온다네요
수리해서 쌔거처럼 쓰셔도 될거같아요~
연락주세요~

직거래는 신월사거리나 화곡역에서 가능합니다~
택배거래시 택배비3천원 추가됩니다"
[1200] 갤럭시노트9 128기가 블랙,180000,2시간 전,"상품번호 [1200]
문의주실때 상품번호 말씀해주세요~

도난,분실 이력없습니다.
선택약정 가능.25%요금할인 가능 단말기.

이전통신사 KT단말기입니다.
통신사 구분없이 3사(SKT.KT.LG)호환가능 모델입니다.

구성품없이 기기단품입니다.
사제 충전기 챙겨드립니다~!!
기능정상.액정깨끗.약 잔상(마지막사진 참조)
외관은 실사사진 참조.상태굿~!!

최초통화일: 2019.07.24

*직거래 장소는 수원,군포,의왕에서 가능하세요.

*쿨거래시 택배비 무료배송입니다~!
*배터리는 소모품이라 보증이 아니예요~!
*상세내용에 고지하지 않은 불량있을시 7일이내 반품 및 교환 가능하세요~!

가격은 18만원입니다.
네고x x x 

***-****-****"
